siteid,sitename,county,itemid,itemname,itemengname,itemunit,monitordate,concentration
35,二林,彰化縣,2,一氧化碳,CO,ppm,"2025-12-02 23:00",0.17
35,二林,彰化縣,7,二氧化氮,NO2,ppb,"2025-12-02 23:00",6
35,二林,彰化縣,4,懸浮微粒,PM10,μg/m3,"2025-12-02 23:00",26
35,二林,彰化縣,3,臭氧,O3,ppb,"2025-12-02 23:00",34
35,二林,彰化縣,1,二氧化硫,SO2,ppb,"2025-12-02 23:00",1.2
35,二林,彰化縣,33,細懸浮微粒,PM2.5,μg/m3,"2025-12-02 23:00",5
35,二林,彰化縣,33,細懸浮微粒,PM2.5,μg/m3,"2025-12-03 00:00",7
35,二林,彰化縣,1,二氧化硫,SO2,ppb,"2025-12-03 00:00",1.5
35,二林,彰化縣,2,一氧化碳,CO,ppm,"2025-12-03 00:00",0.19
35,二林,彰化縣,3,臭氧,O3,ppb,"2025-12-03 00:00",35
35,二林,彰化縣,4,懸浮微粒,PM10,μg/m3,"2025-12-03 00:00",31
35,二林,彰化縣,7,二氧化氮,NO2,ppb,"2025-12-03 00:00",6
35,二林,彰化縣,1,二氧化硫,SO2,ppb,"2025-12-03 01:00",0.6
35,二林,彰化縣,2,一氧化碳,CO,ppm,"2025-12-03 01:00",0.2
35,二林,彰化縣,3,臭氧,O3,ppb,"2025-12-03 01:00",36
35,二林,彰化縣,4,懸浮微粒,PM10,μg/m3,"2025-12-03 01:00",34
35,二林,彰化縣,7,二氧化氮,NO2,ppb,"2025-12-03 01:00",6
35,二林,彰化縣,33,細懸浮微粒,PM2.5,μg/m3,"2025-12-03 01:00",11
35,二林,彰化縣,1,二氧化硫,SO2,ppb,"2025-12-03 02:00",0.5
35,二林,彰化縣,2,一氧化碳,CO,ppm,"2025-12-03 02:00",0.21
35,二林,彰化縣,3,臭氧,O3,ppb,"2025-12-03 02:00",40
35,二林,彰化縣,4,懸浮微粒,PM10,μg/m3,"2025-12-03 02:00",42
35,二林,彰化縣,7,二氧化氮,NO2,ppb,"2025-12-03 02:00",5
35,二林,彰化縣,33,細懸浮微粒,PM2.5,μg/m3,"2025-12-03 02:00",17
35,二林,彰化縣,1,二氧化硫,SO2,ppb,"2025-12-03 03:00",0.6
35,二林,彰化縣,2,一氧化碳,CO,ppm,"2025-12-03 03:00",0.28
35,二林,彰化縣,3,臭氧,O3,ppb,"2025-12-03 03:00",47
35,二林,彰化縣,4,懸浮微粒,PM10,μg/m3,"2025-12-03 03:00",61
35,二林,彰化縣,7,二氧化氮,NO2,ppb,"2025-12-03 03:00",6
35,二林,彰化縣,33,細懸浮微粒,PM2.5,μg/m3,"2025-12-03 03:00",22
35,二林,彰化縣,1,二氧化硫,SO2,ppb,"2025-12-03 04:00",1.1
35,二林,彰化縣,2,一氧化碳,CO,ppm,"2025-12-03 04:00",0.3
35,二林,彰化縣,3,臭氧,O3,ppb,"2025-12-03 04:00",50
35,二林,彰化縣,4,懸浮微粒,PM10,μg/m3,"2025-12-03 04:00",70
35,二林,彰化縣,7,二氧化氮,NO2,ppb,"2025-12-03 04:00",5
